author,title,author_title,bengali,partial_trans,correct_trans
Michael Madhusudan Dutta,উপক্রম,Michael Madhusudan Dutta - উপক্রম,"যথাবিধি বন্দি কবি, আনন্দে আসরে, কহে, জোড় করি কর, গৌড় সুভাজনে; — সেই আমি, ডুবি পূর্বে ভারত - সাগরে, তুলিল যে তিলোত্তমা - মুকুতা যৌবনে; — কবি - গুরু বাল্মীকির প্রসাদে তৎপরে, গম্ভীরে বাজায়ে বীণা, গাইল, কেমনে, নাশিলা সুমিত্রা - পুত্র, লঙ্কার সমরে, দেব - দৈত্য - নরাতঙ্ক— রক্ষেন্দ্র - নন্দনে; কল্পনা দূতীর সাথে ভ্রমি ব্রজ - ধামে শুনিল যে গোপিনীর হাহাকার ধ্বনি, (বিরহে বিহ্বলা বালা হারা হয়ে শ্যামে;) — বিরহ - লেখন পরে লিখিল লেখনী যার, বীর জায়া - পক্ষে বীর পতি - গ্রামে, সেই আমি, শুন, যত গৌড় - চূড়ামণি","यथाबिधि बन्दि कबि, आनन्दे आसरे, कहे, जोड़ करि कर, गौड़ सुभाजने; — सेइ आमि, डुबि पूर्बे भारत - सागरे, तुलिल ये तिलोत्तमा - मुकुता यौबने; — कबि - गुरु बाल्मीकिर प्रसादे तत्परे, गम्भीरे बाजाय़े बीणा, गाइल, केमने, नाशिला सुमित्रा - पुत्र, लङ्कार समरे, देब - दैत्य - नरातङ्क— रक्षेन्द्र - नन्दने; कल्पना दूतीर साथे भ्रमि ब्रज - धामे शुनिल ये गोपिनीर हाहाकार ध्वनि, (बिरहे बिह्वला बाला हारा हय़े श्यामे;) — बिरह - लेखन परे लिखिल लेखनी यार, बीर जाय़ा - पक्षे बीर पति - ग्रामे, सेइ आमि, शुन, यत गौड़ - चूड़ामणि","यथाविधि बन्दि कवि, आनन्दे आसरे, कहे, जोड़ करि कर, गौड़ सुभाजने; — सेइ आमि, डुबि पूर्बे भारत - सागरे, तुलिल ये तिलोत्तमा - मुकुता यौबने; — कवि - गुरु बाल्मीकिर प्रसादे तत्परे, गम्भीरे बाजाय़े वीणा, गाइल, केमने, नाशिला सुमित्रा - पुत्र, लङ्कार समरे, देव - दैत्य - नरातङ्क— रक्षेन्द्र - नन्दने; कल्पना दूतीर साथे भ्रमि व्रज - धामे शुनिल ये गोपिनीर हाहाकार ध्वनि, (विरहे विह्वला बाला हारा हय़े श्यामे;) — विरह - लेखन परे लिखिल लेखनी यार, वीर जाय़ा - पक्षे वीर पति - ग्रामे, सेइ आमि, शुन, यत गौड़ - चूड़ामणि"
Michael Madhusudan Dutta,(Untitled),Michael Madhusudan Dutta - (Untitled),"ইতালি, বিখ্যাত দেশ, কাব্যের কানন, বহুবিধ পিক যথা গায় মধুস্বরে, সঙ্গীত - সুধার রস করি বরিষণ, বাসন্ত আমোদে আমোদ মন পূরি নিরন্তরে; — সে দেশে জনম পূর্বে করিলা গ্রহণ ফ্রাঞ্চিস্কো পেতরাকা কবি; বাক্‌দেবীর বরে বড়ই যশস্বী সাধু, কবি - কুল - ধন, রসনা অমৃতে সিক্ত, স্বর্ণ বীণা করে","इतालि, बिख्यात देश, काब्येर कानन, बहुबिध पिक यथा गाय़ मधुस्वरे, सङ्गीत - सुधार रस करि बरिषण, बासन्त आमोदे आमोद मन पूरि निरन्तरे; — से देशे जनम पूर्बे करिला ग्रहण फ्राञ्चिस्को पेतराका कबि; बाक्‌देबीर बरे बड़इ यशस्वी साधु, कबि - कुल - धन, रसना अमृते सिक्त, स्वर्ण बीणा करे","इतालि, विख्यात देश, काब्येर कानन, बहुविध पिक यथा गाय़ मधुस्वरे, सङ्गीत - सुधार रस करि बरिषण, वासन्त आमोदे आमोद मन पूरि निरन्तरे; — से देशे जनम पूर्बे करिला ग्रहण फ्राञ्चिस्को पेतराका कवि; बाक्‌देबीर बरे बड़इ यशस्वी साधु, कवि - कुल - धन, रसना अमृते सिक्त, स्वर्ण वीणा करे"
Michael Madhusudan Dutta,(Untitled),Michael Madhusudan Dutta - (Untitled),"কাব্যের খনিতে পেয়ে এই ক্ষুদ্র মণি, স্বমন্দিরে প্রদানিলা বাণীর চরণে কবীন্দ্র: প্রসন্নভাবে গ্রহিলা জননী (মনোনীত বর দিয়া) এ উপকরণে","काब्येर खनिते पेय़े एइ क्षुद्र मणि, स्वमन्दिरे प्रदानिला बाणीर चरणे कबीन्द्र: प्रसन्नभाबे ग्रहिला जननी (मनोनीत बर दिय़ा) ए उपकरणे","काब्येर खनिते पेटे एइ क्षुद्र मणि, स्वमन्दिरे प्रदानिला बाणीर चरणे कवीन्द्र: प्रसन्नभावे ग्रहिला जननी (मनोनीत बर दिटा) ए उपकरणे"
Michael Madhusudan Dutta,(Untitled),Michael Madhusudan Dutta - (Untitled),"ভারতে ভারতী - পদ উপযুক্ত গণি, উপহাররূপে আজি অরপি রতনে","भारते भारती - पद उपयुक्त गणि, उपहाररूपे आजि अरपि रतने","भारते भारती - पद उपयुक्त गणि, उपहाररूपे आजि अरपि रतने"
Michael Madhusudan Dutta,বঙ্গভাষা,Michael Madhusudan Dutta - বঙ্গভাষা,"হে বঙ্গ, ভাণ্ডারে তব বিবিধ রতন; — তা সবে, (অবোধ আমি","हे बङ्ग, भाण्डारे तब बिबिध रतन; — ता सबे, (अबोध आमि","हे वङ्ग, भाण्डारे तब विविध रतन; — ता सबे, (अबोध आमि"
Michael Madhusudan Dutta,বঙ্গভাষা,Michael Madhusudan Dutta - বঙ্গভাষা,"অবহেলা করি, পর - ধন - লোভে মত্ত, করিনু ভ্রমণ পরদেশে, ভিক্ষাবৃত্তি কুক্ষণে আচরি","अबहेला करि, पर - धन - लोभे मत्त, करिनु भ्रमण परदेशे, भिक्षाबृत्ति कुक्षणे आचरि","अबहेला करि, पर - धन - लोभे मत्त, करिनु भ्रमण परदेशे, भिक्षावृत्ति कुक्षणे आचरि"
Michael Madhusudan Dutta,বঙ্গভাষা,Michael Madhusudan Dutta - বঙ্গভাষা,কাটাইনু বহু দিন সুখ পরিহরি,काटाइनु बहु दिन सुख परिहरि,काटाइनु बहु दिन सुख परिहरि
Michael Madhusudan Dutta,বঙ্গভাষা,Michael Madhusudan Dutta - বঙ্গভাষা,"অনিদ্রায়, নিরাহারে সঁপি কায়, মনঃ, মজিনু বিফল তপে অবরেণ্যে বরি; — কেলিনু শৈবালে; ভুলি কমল - কানন","अनिद्राय़, निराहारे सँपि काय़, मनः, मजिनु बिफल तपे अबरेण्ये बरि; — केलिनु शैबाले; भुलि कमल - कानन","अनिद्राे, निराहारे सँपि काे, मनः, मजिनु विफल तपे अवरेण्ये बरि; — केलिनु शैबाले; भुलि कमल - कानन"
Michael Madhusudan Dutta,বঙ্গভাষা,Michael Madhusudan Dutta - বঙ্গভাষা,"স্বপ্নে তব কুললক্ষ্মী কয়ে দিলা পরে— “ওরে বাছা, মাতৃকোষে রতনের রাজি, এ ভিখারী - দশা তবে কেন তোর আজি","स्वप्ने तब कुललक्ष्मी कय़े दिला परे— “ओरे बाछा, मातृकोषे रतनेर राजि, ए भिखारी - दशा तबे केन तोर आजि","स्वप्ने तब कुललक्ष्मी कय़े दिला परे— “ओरे बाछा, मातृकोषे रतनेर राजि, ए भिखारी - दशा तबे केन तोर आजि"
Michael Madhusudan Dutta,বঙ্গভাষা,Michael Madhusudan Dutta - বঙ্গভাষা,"যা ফিরি, অজ্ঞান তুই, যা রে ফিরি ঘরে","या फिरि, अज्ञान तुइ, या रे फिरि घरे","या फिरि, अज्ञान तुइ, या रे फिरि घरे"
